shock_method,sample_split,horizon,b_h,b_h_se,b_h_pval,c_h,c_h_se,c_h_pval,r_squared,n_obs
realized_vol_change_percentile,full,1,0.006161838622851139,361.5028130267198,0.9999864000065118,-0.005060136137463598,,,0.004381910274201428,3897
realized_vol_change_percentile,full,5,0.021446630822964004,,,-0.02049751696467215,,,0.016425649687494936,3893
realized_vol_change_percentile,full,21,0.031723076367601445,,,-0.030227714865854047,,,0.04026469300725699,3877
realized_vol_change_percentile,pre_2020,1,-0.0013010994285738617,,,0.001801776744703422,,,0.004086302035399836,2389
realized_vol_change_percentile,pre_2020,5,-7.835973405692729e-06,,,0.0035816553799055666,,,0.011797742938727485,2385
realized_vol_change_percentile,pre_2020,21,0.024048848661115882,13110.555448930478,0.9999985364308075,-0.020370166536931193,10663.430008114283,0.9999984758148768,0.022729889392142932,2369
realized_vol_change_percentile,post_2020,1,0.013560492586617193,0.004699925309389659,0.003910942033008447,-0.011683538844654912,0.005051101402363246,0.020718924417326062,0.01481143665577378,1507
realized_vol_change_percentile,post_2020,5,0.03740364735305245,21196.686914551894,0.9999985920538969,-0.0412065408038343,26106.957523071487,0.9999987406398205,0.0668062705134026,1503
realized_vol_change_percentile,post_2020,21,0.03147741441329484,29350.858820662314,0.9999991443063684,-0.03586490059602633,22095.41478270013,0.9999987048873831,0.08742633416661183,1487
vix_jump,full,1,0.006161838622851139,361.5028130267198,0.9999864000065118,-0.005060136137463598,,,0.004381910274201428,3897
vix_jump,full,5,0.021446630822964004,,,-0.02049751696467215,,,0.016425649687494936,3893
vix_jump,full,21,0.031723076367601445,,,-0.030227714865854047,,,0.04026469300725699,3877
vix_jump,pre_2020,1,-0.0013010994285738617,,,0.001801776744703422,,,0.004086302035399836,2389
vix_jump,pre_2020,5,-7.835973405692729e-06,,,0.0035816553799055666,,,0.011797742938727485,2385
vix_jump,pre_2020,21,0.024048848661115882,13110.555448930478,0.9999985364308075,-0.020370166536931193,10663.430008114283,0.9999984758148768,0.022729889392142932,2369
vix_jump,post_2020,1,0.013560492586617193,0.004699925309389659,0.003910942033008447,-0.011683538844654912,0.005051101402363246,0.020718924417326062,0.01481143665577378,1507
vix_jump,post_2020,5,0.03740364735305245,21196.686914551894,0.9999985920538969,-0.0412065408038343,26106.957523071487,0.9999987406398205,0.0668062705134026,1503
vix_jump,post_2020,21,0.03147741441329484,29350.858820662314,0.9999991443063684,-0.03586490059602633,22095.41478270013,0.9999987048873831,0.08742633416661183,1487
realized_vol_level_percentile,full,1,0.0027178412666716174,2618.0622009142985,0.9999991717066216,-0.0019311098485372134,2062.675582888105,0.9999992530077215,0.0028748813150326624,3897
realized_vol_level_percentile,full,5,0.00598918844016166,1014.2007557713129,0.999995288229711,-0.0021038794134328265,,,0.0098704396244792,3893
realized_vol_level_percentile,full,21,0.007601305835282717,,,0.01073866901496507,,,0.0431896267723888,3877
realized_vol_level_percentile,pre_2020,1,0.004011684369135026,,,-0.0025942275433087276,,,0.0038626238702029747,2389
realized_vol_level_percentile,pre_2020,5,0.01196118827172755,,,-0.007560492158667356,,,0.010351439197143208,2385
realized_vol_level_percentile,pre_2020,21,0.025652804848803917,,,-0.023434893204786925,,,0.02104437878322285,2369
realized_vol_level_percentile,post_2020,1,0.0029690358876962703,0.0031968427724562696,0.3530238243987768,-0.0018298699256768666,0.004207741611209052,0.6636482810323963,0.006251642417909653,1507
realized_vol_level_percentile,post_2020,5,0.004243251413513358,,,0.0034366291557910555,,,0.03493163392755816,1503
realized_vol_level_percentile,post_2020,21,0.007018095277776185,0.014659710342626,0.6321281898800493,0.03053380816609164,0.02462205236296989,0.214938393503736,0.10103658820848149,1487
range_based_volatility_jump,full,1,0.00779628240558639,295.07005621659374,0.9999789184526477,-0.006891472907563558,,,0.006326516637818247,3897
range_based_volatility_jump,full,5,0.016627455789086917,3640.8770861992048,0.9999963561554138,-0.01562786446635071,4930.8681857538395,0.9999974711893918,0.013614719291577648,3893
range_based_volatility_jump,full,21,0.021185971443380892,,,-0.01740512234837799,,,0.03675586716518531,3877
range_based_volatility_jump,pre_2020,1,0.0009688520589882499,368.98700835986455,0.9999979049883002,-4.113773241762867e-05,393.9863915877085,0.9999999166896059,0.003939495321114039,2389
range_based_volatility_jump,pre_2020,5,0.007901194675085758,,,-0.0026862913682484477,,,0.011849489614839226,2385
range_based_volatility_jump,pre_2020,21,0.03765130304346245,,,-0.02859377426791184,,,0.025176021845429775,2369
range_based_volatility_jump,post_2020,1,0.012936303454825597,0.00454529049934239,0.0044259756620925435,-0.012855627378789569,0.004361038141494984,0.0032000627236633936,0.020327092486537746,1507
range_based_volatility_jump,post_2020,5,0.02257921231934585,,,-0.02765416939884383,5491.8887338019185,0.9999959822866277,0.05366453197608623,1503
range_based_volatility_jump,post_2020,21,0.004481041866846502,85455.25517318044,0.9999999581610971,-0.007609000024233866,65212.204134500105,0.9999999069023395,0.07192805279310499,1487
